,oci_cat,oci,area_sq_ft,seg_cd,total_count,day_diff,func_cat,pvm_cat,status_cat
354,1,100.0,19708.27,8,0.0,0,1,1,1
355,0,38.28,19967.994,8,0.0,0,1,1,0
356,0,14.38,19708.285,8,0.0,0,1,1,0
357,0,34.92,19708.062,8,0.0,0,1,1,0
358,1,41.88,19813.701,8,0.0,0,1,1,1
359,0,0.0,7074.205,3,0.0,0,1,1,0
360,1,54.2,19811.994,3,0.0,0,1,1,1
361,1,57.82,19551.994,3,0.0,0,1,1,1
362,1,84.67,20435.994,8,0.0,0,1,1,1
363,1,88.93,20541.06,8,0.0,0,1,1,1
364,0,30.61,19815.338,8,0.0,0,1,1,0
365,0,24.71,19812.266,8,0.0,0,1,1,0
366,0,30.44,19864.623,8,0.0,0,1,1,0
367,0,22.84,19707.994,8,0.0,0,1,1,0
368,0,24.8,19760.61,3,0.0,0,1,1,0
369,0,30.18,19811.994,3,0.0,0,1,1,0
370,0,32.83,19707.994,3,0.0,0,1,1,0
371,0,12.37,21424.053,8,0.0,0,1,1,0
372,0,12.53,20488.275,8,0.0,0,1,1,0
373,1,93.73,19604.27,8,0.0,0,1,1,1
374,0,36.57,19916.266,8,0.0,0,1,1,0
375,1,49.33,19812.01,8,0.0,0,1,1,1
376,0,38.73,19813.086,8,0.0,0,1,1,0
377,0,38.54,19971.582,8,0.0,0,1,1,0
378,1,73.49,11163.114,3,0.0,0,1,1,1
379,1,56.47,11430.036,3,0.0,0,1,1,1
380,1,58.88,11340.036,3,0.0,0,1,1,1
381,0,22.97,15278.592,8,0.0,0,1,1,0
382,0,17.41,15005.352,8,0.0,0,1,1,0
383,0,7.62,15440.104,8,0.0,0,1,1,0
384,1,52.07,15120.0,3,0.0,0,1,1,1
385,1,78.91,15240.1,3,0.0,0,1,1,1
386,1,90.71,16082.508,8,0.0,0,1,1,1
387,0,1.04,15720.108,8,0.0,0,1,1,0
388,0,0.0,14960.104,8,0.0,0,5,1,0
389,0,21.52,15528.14,8,0.0,0,5,1,0
390,1,55.26,69021.86,8,0.0,0,1,1,1
391,1,65.37,22800.156,3,0.0,0,1,1,1
392,1,84.44,22800.15,3,0.0,0,3,1,1
393,1,82.84,22800.168,3,0.0,0,3,1,1
394,1,89.64,22800.15,3,0.0,0,3,1,1
395,1,78.34,23043.889,3,0.0,0,3,1,1
396,1,71.23,23520.3,8,0.0,0,3,1,1
397,1,62.34,23221.44,8,0.0,0,3,1,1
398,1,77.89,22681.266,8,0.0,0,3,1,1
399,1,58.56,23429.994,8,0.0,0,3,1,1
400,1,72.0,6522.38,3,0.0,0,4,1,1
401,1,92.31,15480.0,8,0.0,0,1,1,1
402,1,81.65,15560.0,8,0.0,0,1,1,1
403,1,49.42,15200.0,8,0.0,0,1,2,1
404,1,58.11,15680.0,8,0.0,0,1,2,1
405,1,90.0,2640.0,3,0.0,0,2,1,1
406,1,82.21,96291.34,3,0.0,0,2,1,1
407,1,93.8,16274.358,8,0.0,217,5,1,1
408,1,93.8,16274.358,8,0.0,0,5,1,1
409,0,37.82,18375.371,8,0.0,154,1,1,0
410,0,37.82,18375.371,8,0.0,0,1,1,0
411,1,43.03,24400.023,8,0.0,154,1,1,1
412,1,43.03,24400.023,8,0.0,0,1,1,1
413,0,32.2,9550.325,8,0.0,0,1,1,0
414,1,82.13,25440.504,3,0.0,0,1,1,1
415,1,91.44,16003.373,3,0.0,154,1,1,1
416,1,91.44,16003.373,3,0.0,0,1,1,1
417,1,88.02,15834.898,3,0.0,154,1,1,1
418,1,88.02,15834.898,3,0.0,0,1,1,1
419,1,82.41,16171.36,3,0.0,154,2,1,1
420,1,82.41,16171.36,3,0.0,0,2,1,1
421,1,77.47,20026.117,3,0.0,154,2,1,1
422,1,91.24,10716.273,3,0.0,0,1,1,1
423,0,0.97,28121.684,8,0.0,0,4,1,0
424,0,8.0,6944.035,3,0.0,0,1,1,0
425,1,61.2,22942.607,3,0.0,0,2,1,1
426,1,50.85,19083.7,3,0.0,0,2,1,1
427,0,39.02,19760.682,3,0.0,0,2,1,0
428,1,42.46,22614.514,3,0.0,47,2,1,1
429,1,53.05,14896.992,8,0.0,0,4,1,1
430,1,78.58,17894.129,8,0.0,0,4,1,1
431,1,73.55,15242.624,8,0.0,0,4,1,1
432,1,50.82,15044.752,8,0.0,0,4,1,1
433,1,78.49,20488.588,3,0.0,0,1,1,1
434,1,65.68,19812.61,3,0.0,0,1,1,1
435,1,62.64,19760.629,3,0.0,0,1,1,1
436,1,65.24,19708.613,3,0.0,0,1,1,1
437,1,61.96,19865.082,3,0.0,0,1,1,1
438,1,66.9,19657.732,3,0.0,0,1,1,1
439,1,62.37,19917.69,3,0.0,0,1,1,1
440,1,82.32,26680.268,3,0.0,0,1,1,1
441,1,70.87,26241.492,3,0.0,0,1,1,1
442,1,79.15,26071.928,3,0.0,0,1,1,1
443,1,64.25,15767.432,3,0.0,0,1,1,1
444,1,83.02,14651.712,3,0.0,0,1,1,1
445,1,86.18,15042.604,3,0.0,0,1,1,1
446,1,86.18,15042.604,3,0.0,0,1,1,1
447,1,89.06,15201.892,3,0.0,0,1,1,1
448,1,89.06,15201.892,3,0.0,0,1,1,1
449,1,77.9,15281.892,3,0.0,0,1,1,1
450,1,65.27,15001.916,3,0.0,0,1,1,1
451,1,44.61,15322.556,3,0.0,0,1,1,1
452,1,42.09,15122.6,3,0.0,0,1,1,1
453,0,36.38,15363.328,3,0.0,0,1,1,0
454,0,28.95,18640.004,3,0.0,333,1,1,0
455,1,61.63,16741.98,3,0.0,0,1,1,1
456,1,65.12,15240.948,8,0.0,0,1,1,1
457,1,65.33,15241.048,8,0.0,0,1,1,1
458,1,65.82,15000.524,8,0.0,0,1,1,1
459,1,81.91,29932.148,8,0.0,0,5,1,1
460,1,84.88,19349.994,8,0.0,217,1,1,1
461,1,84.88,19349.994,8,0.0,0,1,1,1
462,1,89.66,107220.76,8,0.0,217,1,1,1
463,1,89.66,107220.76,8,0.0,0,1,1,1
464,1,83.67,35256.0,3,0.0,0,2,1,1
465,1,83.67,35256.0,3,0.0,0,2,1,1
466,1,83.52,35360.0,3,0.0,0,2,1,1
467,1,83.52,35360.0,3,0.0,0,2,1,1
468,1,80.72,35360.0,3,0.0,154,2,1,1
469,1,80.72,35360.0,3,0.0,0,2,1,1
470,1,86.6,35412.0,3,0.0,0,2,1,1
471,1,86.6,35412.0,3,0.0,0,2,1,1
472,1,42.91,35360.0,3,0.0,0,2,1,1
473,1,50.27,35899.938,3,0.0,0,2,1,1
474,1,86.25,20696.0,3,0.0,0,2,1,1
475,1,83.78,19708.0,3,0.0,0,2,1,1
476,1,83.06,19760.0,3,0.0,0,1,1,1
477,1,87.91,19708.0,3,0.0,0,1,1,1
478,1,90.4,19864.0,3,0.0,0,1,1,1
479,1,88.77,19656.0,3,0.0,0,1,1,1
480,1,82.05,19968.604,3,0.0,0,2,1,1
481,1,96.27,26521.477,3,0.0,0,2,1,1
482,1,87.11,26481.088,3,0.0,0,2,1,1
483,1,92.78,13041.532,3,0.0,0,2,1,1
484,1,97.07,13160.972,3,0.0,0,2,1,1
485,1,90.73,13120.244,3,0.0,0,2,1,1
486,1,91.01,34804.562,3,0.0,0,2,1,1
487,1,61.12,8789.664,3,0.0,0,2,1,1
488,1,76.2,14465.544,3,0.0,0,2,1,1
489,1,86.31,19761.107,3,0.0,0,2,1,1
490,1,90.09,19761.705,3,0.0,0,2,1,1
491,1,72.77,19553.72,3,0.0,0,2,1,1
492,1,82.44,19711.375,3,0.0,0,2,1,1
493,1,44.96,19867.328,3,0.0,0,2,1,1
494,1,47.19,19660.395,3,0.0,154,1,1,1
495,1,47.19,19660.395,3,0.0,72,1,1,1
496,1,55.97,19918.44,3,0.0,154,2,1,1
497,1,55.97,19918.44,3,0.0,72,2,1,1
498,1,58.13,19761.72,3,0.0,154,2,1,1
499,1,58.13,19761.72,3,0.0,72,2,1,1
500,1,46.41,19970.434,3,0.0,154,2,1,1
501,1,46.41,19970.434,3,0.0,72,2,1,1
502,1,72.58,37180.582,3,0.0,0,1,1,1
503,1,72.58,37180.582,3,0.0,0,1,1,1
504,1,78.14,23504.0,3,0.0,0,2,1,1
505,1,78.14,23504.0,3,0.0,0,2,1,1
506,1,91.41,16104.108,3,0.0,0,2,1,1
507,0,7.78,15469.456,3,0.0,0,2,1,0
