id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
05AV008516,05 AV,A ST - ASH ST,13512,,,,13512,0085-16,2016-04-06
05AV047506,05 AV,B ST - A ST,10000,,,,10000,0475-06,2006-10-09
05AV063909,05 AV,B ST - A ST,12635,,,,12635,0639-09,2009-10-21
05AV042616,05 AV,B ST - A ST,11670,,,,11670,0426-16,2016-10-25
05AV018707,05 AV,BEECH ST - CEDAR ST,11760,,,,11760,0187-07,2007-03-13
05AV015710,05 AV,BEECH ST - CEDAR ST,11510,,,,11510,0157-10,2010-03-17
05AV018813,05 AV,BEECH ST - CEDAR ST,10870,,,,10870,0188-13,2013-03-12
05AV008221,05 AV,BEECH ST - CEDAR ST,5089,,,,5089,0082-21,2021-03-10
05AV059807,05 AV,BROADWAY  - C ST,7140,,,,7140,0598-07,2008-01-08
05AV017705,05 AV,CEDAR ST - SD 005 ,23430,,,,23430,0177-05,2005-03-29
05AV006118,05 AV,CEDAR ST - SD 005 ,22129,,,,22129,0061-18,2018-03-13
05AV047406,05 AV,F ST - E ST,12250,,,,12250,0474-06,2006-10-09
05AV063809,05 AV,F ST - E ST,11960,,,,11960,0638-09,2009-10-06
05AV063312,05 AV,F ST - E ST,12056,,,,12056,0633-12,2012-08-07
05AV042516,05 AV,F ST - E ST,11703,,,,11703,0425-16,2016-10-25
05AV012405,05 AV,FIR ST - GRAPE ST,12090,,,,12090,0124-05,2005-03-29
05AV012505,05 AV,FIR ST - GRAPE ST,10020,,,,10020,0125-05,2005-03-29
05AV016908,05 AV,FIR ST - GRAPE ST,9220,,,,9220,0169-08,2008-03-27
05AV036111,05 AV,FIR ST - GRAPE ST,8260,,,,8260,0361-11,2011-06-07
05AV003114,05 AV,FIR ST - GRAPE ST,7343,,,,7343,0031-14,2014-02-25
05AV115014,05 AV,FIR ST - GRAPE ST,7140,,,,7140,1150-14,2014-08-05
05AV056615,05 AV,FIR ST - GRAPE ST,7280,,,,7280,0566-15,2015-03-10
05AV056615,05 AV,FIR ST - GRAPE ST,7280,,,,7280,0566-15,2015-03-10
05AV005718,05 AV,FIR ST - GRAPE ST,8339,,,,8339,0057-18,2018-03-13
05AV047306,05 AV,G ST - F ST,8270,,,,8270,04730-6,2006-10-09
05AV063709,05 AV,G ST - F ST,7255,,,,7255,0637-09,2009-10-06
05AV063212,05 AV,G ST - F ST,8876,,,,8876,0632-12,2012-08-07
05AV042416,05 AV,G ST - F ST,8098,,,,8098,0424-16,2016-10-20
05AV014807,05 AV,GRAPE ST - HAWTHORN ST,9410,,,,9410,0148-07,2007-03-13
05AV014110,05 AV,GRAPE ST - HAWTHORN ST,10045,,,,10045,0141-10,2010-03-17
05AV018913,05 AV,GRAPE ST - HAWTHORN ST,9645,,,,9645,0189-13,2013-03-12
05AV114914,05 AV,GRAPE ST - HAWTHORN ST,8783,,,,8783,1149-14,2014-08-05
05AV056715,05 AV,GRAPE ST - HAWTHORN ST,9110,,,,9110,0567-15,2015-03-04
05AV006621,05 AV,GRAPE ST - HAWTHORN ST,3584,,,,3584,0066-21,2021-03-10
05AV058408,05 AV,HARBOR DR - L ST,2790,3960,,,6750,0584-08,2008-11-25
05AV108511,05 AV,HARBOR DR - L ST,4520,4790,,,9310,1085-11,2011-12-01
05AV003214,05 AV,HARBOR DR - L ST,2350,3475,,,5825,0032-14,2014-02-11
05AV059707,05 AV,ISLAND AV - MARKET ST,7090,,,,7090,0597-07,2008-01-08
05AV001211,05 AV,ISLAND AV - MARKET ST,5950,,,,5950,0012-11,2011-01-19
05AV003314,05 AV,ISLAND AV - MARKET ST,5128,,,,5128,0033-14,2014-02-11
05AV018506,05 AV,IVY ST - JUNIPER ST,10380,,,,10380,0185-06,2006-03-30
05AV019109,05 AV,IVY ST - JUNIPER ST,9260,,,,9260,0191-09,2009-03-31
05AV019212,05 AV,IVY ST - JUNIPER ST,9284,,,,9284,0192-12,2012-03-08
05AV114814,05 AV,IVY ST - JUNIPER ST,8836,,,,8836,1148-14,2014-08-05
05AV022615,05 AV,IVY ST - JUNIPER ST,9817,,,,9817,0226-15,2015-06-02
05AV006716,05 AV,IVY ST - JUNIPER ST,7747,,,,7747,0067-16,2016-03-30
